epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.8131,2.58832,8.50877,0.80064,2.97663,3.1172,0.29933,0.33333,0.1847,0.05447,0,0,0,0,2.6822,9.84144,1.19667,4.69375,4.12183,0.08713,0.00013,0.00013
2,57.0578,2.11713,7.79831,0.57033,2.03636,2.57578,0.18931,0.44928,0.11345,0.02904,0.0009,0.01449,6e-05,1e-05,2.72141,9.49307,0.56821,5.42172,4.64816,0.07327,0.000269993,0.000269993
3,70.2899,2.02047,7.31987,0.52013,1.91699,2.51859,0.37177,0.44928,0.37966,0.09845,0,0,0,0,2.48255,9.2949,0.45065,6.72193,3.63918,0.05941,0.000409955,0.000409955
4,83.9507,2.04766,7.53226,0.51587,1.95139,2.53867,0.3403,0.53623,0.45745,0.10321,0.00255,0.01449,0.0001,1e-05,2.55868,8.6067,0.55231,11.3395,3.75699,0.0455499,0.000549866,0.000549866
5,97.6832,1.99673,7.47028,0.53675,1.86201,2.48847,0.34123,0.47826,0.29448,0.0886,0.00561,0.01449,0.00018,2e-05,2.39955,9.1009,0.3778,6.93024,3.66957,0.0316897,0.0006897,0.0006897
6,110.564,1.96652,7.20518,0.50742,1.8956,2.45303,0.46,0.52174,0.45535,0.15594,0.01422,0.02899,0.00053,5e-05,2.15103,8.20667,0.35212,4.10056,3.01048,0.0178294,0.000829437,0.000829437
7,123.858,1.97136,7.25638,0.51507,1.89227,2.4371,0.11621,0.65217,0.11105,0.03776,0.00153,0.02899,0.00014,2e-05,2.09533,8.41736,0.36911,9.73172,3.0048,0.00396905,0.000969053,0.000969053
8,137.448,1.93952,6.94395,0.5043,1.82049,2.42261,0.01234,0.62319,0.00953,0.00332,5e-05,0.01449,3e-05,0,2.51507,8.87273,0.5049,42.4034,3.40405,0.000998671,0.000998671,0.000998671
9,151.198,1.98462,7.0506,0.48704,1.86558,2.46538,0.05922,0.5942,0.04835,0.01853,0,0,0,0,2.14067,8.4931,0.40427,6.55247,2.8664,0.000998264,0.000998264,0.000998264
10,164.846,1.82551,7.29353,0.49737,1.72777,2.30317,0.11281,0.55072,0.0949,0.03631,0.00559,0.01449,0.00021,3e-05,2.15155,8.45455,0.38818,4.14712,2.96515,0.000997803,0.000997803,0.000997803
11,177.573,1.93487,6.98963,0.48792,1.75508,2.3702,0.48301,0.65217,0.5223,0.18629,0.02022,0.02899,0.0023,0.00028,2.0946,8.18599,0.33927,2.51189,2.8139,0.000997288,0.000997288,0.000997288
12,191.088,1.90913,7.08314,0.48381,1.82134,2.3514,0.39123,0.50725,0.38401,0.1445,0.03869,0.07246,0.00394,0.00045,2.0621,8.20253,0.32813,2.53439,2.8189,0.00099672,0.00099672,0.00099672
13,204.4,1.93435,6.79026,0.46329,1.80258,2.3655,0.48806,0.4058,0.36574,0.12422,0.0127,0.01449,0.0004,5e-05,2.00569,8.09418,0.35043,3.23655,2.88205,0.000996097,0.000996097,0.000996097
14,217.343,1.86608,6.88131,0.49883,1.80046,2.34352,0.46703,0.36232,0.41707,0.1505,0.09504,0.01449,0.00325,0.00033,1.93648,7.89356,0.31247,4.39375,2.76792,0.00099542,0.00099542,0.00099542
15,230.88,1.85334,6.7271,0.47683,1.69577,2.35629,0.48264,0.49275,0.40828,0.16185,0.01822,0.01449,0.00051,0.00014,1.94942,7.82293,0.36581,2.61937,2.62301,0.00099469,0.00099469,0.00099469
16,244.537,1.87001,6.87535,0.48207,1.74056,2.33315,0.5329,0.6614,0.55507,0.22482,0.04138,0.02899,0.00499,0.00092,1.91891,7.73609,0.31461,2.54676,2.70749,0.000993906,0.000993906,0.000993906
17,257.654,1.8656,6.61808,0.46019,1.73637,2.29234,0.43814,0.57641,0.48468,0.14508,0.08593,0.01449,0.00224,0.00022,2.11194,8.22302,0.28902,2.59677,2.93153,0.000993068,0.000993068,0.000993068
18,271.27,1.79915,6.70948,0.43137,1.66722,2.24876,0.72602,0.56522,0.62943,0.21845,0.03774,0.01449,0.0011,0.00014,2.05758,7.9767,0.27092,2.18708,2.83424,0.000992177,0.000992177,0.000992177
19,284.702,1.77119,6.7705,0.44438,1.69936,2.26696,0.62569,0.72464,0.67481,0.27389,0.05242,0.01449,0.00247,0.00028,1.83903,7.7071,0.27741,1.81071,2.5808,0.000991232,0.000991232,0.000991232
20,299.426,1.81357,6.77173,0.47533,1.73378,2.27977,0.84718,0.75362,0.80863,0.33303,0.08507,0.05797,0.01346,0.00156,1.89386,7.20321,0.29545,1.47042,2.62239,0.000990234,0.000990234,0.000990234
21,313.135,1.78301,6.56526,0.46553,1.69966,2.26475,0.80618,0.69565,0.76111,0.33185,0.06455,0.04348,0.00459,0.00059,1.83499,7.53567,0.29093,1.51969,2.56853,0.000989183,0.000989183,0.000989183
22,327.112,1.74513,6.67547,0.4575,1.69557,2.28755,0.84884,0.72464,0.81105,0.31713,0.08215,0.07246,0.00923,0.00144,1.94297,7.48751,0.30195,1.45911,2.66728,0.000988079,0.000988079,0.000988079
23,340.495,1.79035,6.63049,0.46159,1.68935,2.29096,0.69901,0.80781,0.80263,0.36163,0.10185,0.09044,0.03406,0.00467,1.85691,7.15686,0.29402,1.48813,2.57423,0.000986922,0.000986922,0.000986922
24,354.011,1.75571,6.81069,0.44713,1.63546,2.24395,0.72758,0.73913,0.75743,0.31898,0.05316,0.07246,0.00561,0.00062,1.93231,7.05272,0.30186,2.1246,2.60193,0.000985711,0.000985711,0.000985711
25,367.954,1.75235,6.47712,0.44396,1.65,2.24121,0.53805,0.67525,0.61153,0.2283,0.03413,0.05797,0.00237,0.00029,1.95689,7.2988,0.30935,2.4264,2.68846,0.000984449,0.000984449,0.000984449
26,381.359,1.69908,6.52006,0.43789,1.65548,2.18207,0.78827,0.63768,0.71985,0.27437,0.2141,0.11594,0.0524,0.00879,1.93244,7.03585,0.30585,1.9091,2.61403,0.000983133,0.000983133,0.000983133
27,394.59,1.76151,6.51113,0.45243,1.70607,2.27041,0.70027,0.75362,0.76745,0.31959,0.17339,0.11594,0.03298,0.00429,1.85025,7.11153,0.30934,1.54263,2.55572,0.000981765,0.000981765,0.000981765
28,407.953,1.763,6.56321,0.45111,1.68582,2.23704,0.75621,0.81159,0.80911,0.27965,0.15102,0.14493,0.0414,0.00553,1.9263,7.07754,0.309,1.50722,2.68884,0.000980345,0.000980345,0.000980345
29,421.036,1.68657,6.46792,0.44996,1.66269,2.18181,0.79008,0.72464,0.76258,0.327,0.15694,0.10145,0.04238,0.00751,1.77549,6.86629,0.31753,1.56709,2.58777,0.000978873,0.000978873,0.000978873
30,434.408,1.70388,6.68227,0.46046,1.70522,2.25337,0.74312,0.71278,0.73158,0.2835,0.14998,0.08955,0.03099,0.00345,1.84102,6.82432,0.27044,1.62901,2.55115,0.000977349,0.000977349,0.000977349
31,447.759,1.73878,6.31249,0.43271,1.64908,2.24545,0.71614,0.72464,0.76289,0.27189,0.15782,0.10145,0.03452,0.00616,1.93796,6.85971,0.27462,1.83028,2.60927,0.000975773,0.000975773,0.000975773
32,461.405,1.71642,6.45687,0.43073,1.64637,2.21529,0.78786,0.75362,0.83056,0.32512,0.12333,0.08696,0.01246,0.00145,1.8626,7.1269,0.28296,1.82347,2.60678,0.000974145,0.000974145,0.000974145
33,474.412,1.6819,6.24263,0.43793,1.61522,2.1692,0.7529,0.72464,0.79212,0.33711,0.15813,0.10145,0.02727,0.0043,1.77564,6.891,0.26705,1.55142,2.44909,0.000972466,0.000972466,0.000972466
34,487.638,1.72012,6.31055,0.4185,1.63165,2.17922,0.6557,0.84058,0.78918,0.35923,0.25422,0.13043,0.06012,0.00743,1.65661,6.80911,0.24358,1.48015,2.30926,0.000970736,0.000970736,0.000970736
35,500.542,1.69632,6.45591,0.43483,1.58771,2.15796,0.80956,0.73929,0.79601,0.38101,0.12912,0.11594,0.02621,0.00334,1.71498,6.86721,0.26734,1.42274,2.38547,0.000968955,0.000968955,0.000968955
36,513.852,1.70228,6.54157,0.43405,1.65335,2.18793,0.77253,0.78755,0.82387,0.39586,0.27412,0.12598,0.06019,0.00945,1.75059,6.83037,0.29882,1.39231,2.42706,0.000967122,0.000967122,0.000967122
37,527.238,1.69878,6.19145,0.42026,1.59675,2.17102,0.6546,0.74163,0.74545,0.30089,0.35484,0.13043,0.08533,0.01215,1.8445,7.00061,0.27606,1.87221,2.50878,0.000965239,0.000965239,0.000965239
38,540.071,1.66834,6.23053,0.43574,1.5518,2.17043,0.76084,0.69565,0.78691,0.3309,0.16875,0.10145,0.04168,0.00612,1.82102,6.932,0.26294,1.71462,2.45745,0.000963306,0.000963306,0.000963306
39,553.33,1.66256,6.20825,0.44797,1.56373,2.14651,0.85454,0.76631,0.8634,0.38684,0.16791,0.10145,0.0265,0.00456,1.70036,6.94022,0.3159,1.38366,2.37835,0.000961322,0.000961322,0.000961322
40,566.288,1.68535,6.30828,0.44452,1.58966,2.18904,0.78822,0.70128,0.79735,0.34456,0.12567,0.07246,0.01785,0.00286,1.81082,6.99637,0.27971,1.43277,2.49252,0.000959289,0.000959289,0.000959289
41,579.771,1.7388,6.17061,0.43599,1.63009,2.18928,0.89941,0.77759,0.86718,0.38708,0.11184,0.08696,0.01345,0.00189,1.76204,6.87468,0.2831,1.31905,2.43902,0.000957205,0.000957205,0.000957205
