epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9038,2.44197,8.76659,0.80974,2.73183,3.01244,0.21836,0.28986,0.19307,0.07278,0,0,0,0,2.25546,9.87464,0.8714,9.32318,3.25637,0.087091,9.1e-05,9.1e-05
2,53.4277,1.89932,8.1472,0.56613,1.95662,2.43003,0.14072,0.24638,0.09855,0.0236,0,0,0,0,3.27163,10.3304,1.17091,6.57167,5.42631,0.073189,0.000188995,0.000188995
3,67.3265,1.97393,7.95523,0.47775,1.76364,2.49029,0.36655,0.50725,0.30398,0.0953,0,0,0,0,2.5864,8.96671,0.70837,4.1409,3.94841,0.059287,0.00028697,0.00028697
4,81.11,1.85184,7.53467,0.50061,1.70939,2.38249,0.27911,0.4058,0.17801,0.04881,0.00021,0.02899,0.00011,2e-05,2.52243,9.40236,0.66709,7.53886,3.55348,0.0453849,0.00038491,0.00038491
5,94.5891,1.8326,7.52989,0.49057,1.61013,2.33288,0.44972,0.4058,0.30879,0.07629,0,0,0,0,2.59844,8.77389,0.38191,2.77807,3.94666,0.0314828,0.000482799,0.000482799
6,107.529,1.85491,7.32105,0.48757,1.63692,2.39448,0.38348,0.55072,0.3766,0.11922,0,0,0,0,2.32952,8.39164,0.41084,2.10247,3.13314,0.0175806,0.000580622,0.000580622
7,121.134,1.81844,7.14304,0.45318,1.63447,2.33268,0.65704,0.69414,0.70773,0.27377,0.07623,0.01449,0.00252,0.00025,1.92439,8.19446,0.31612,2.13843,2.78076,0.00367836,0.000678364,0.000678364
8,134.669,1.87325,7.26304,0.4773,1.68902,2.3951,0.56241,0.55886,0.48487,0.18817,0,0,0,0,2.19875,8.4463,0.3466,2.31826,3.03878,0.000699107,0.000699107,0.000699107
9,147.775,1.80924,7.23988,0.46916,1.64688,2.3372,0.61385,0.50725,0.55646,0.19944,0.0255,0.04348,0.00219,0.00031,2.13667,8.11512,0.39029,2.03504,2.87438,0.000698834,0.000698834,0.000698834
10,161.125,1.83971,6.98976,0.4725,1.59901,2.35427,0.56708,0.69565,0.60503,0.24551,0.00573,0.01449,0.00034,3e-05,1.98836,8.07753,0.29845,2.02361,2.64824,0.000698524,0.000698524,0.000698524
11,174.373,1.78398,7.22362,0.44603,1.63344,2.28555,0.71092,0.75362,0.81034,0.32751,0.01023,0.01449,0.00026,5e-05,1.95607,7.81609,0.28048,2.08307,2.7011,0.000698179,0.000698179,0.000698179
12,187.601,1.77626,7.08809,0.46137,1.58017,2.2862,0.78246,0.62556,0.72446,0.28381,0.06589,0.04348,0.00515,0.00072,2.03876,7.49874,0.33753,1.86594,2.80371,0.000697796,0.000697796,0.000697796
13,200.774,1.80549,7.00517,0.43818,1.58264,2.27946,0.59809,0.6087,0.61824,0.26571,0.05762,0.04348,0.00339,0.00077,1.99051,7.6476,0.36194,1.56724,2.61545,0.000697378,0.000697378,0.000697378
14,214.367,1.73526,7.00996,0.43826,1.52361,2.24148,0.68432,0.71014,0.69037,0.32996,0.18215,0.07246,0.02021,0.00202,1.86503,7.40923,0.28779,1.34751,2.63981,0.000696924,0.000696924,0.000696924
15,226.957,1.75706,6.82522,0.44174,1.49159,2.26979,0.6588,0.6996,0.68619,0.2697,0.0584,0.07246,0.0104,0.0013,2.13526,7.3545,0.31165,1.48098,3.03737,0.000696433,0.000696433,0.000696433
